# fleet-corpus.tsv — the fleet's real commit subjects, frozen against the verdict each produces.
#
# NOT a golden with a rewrite flag. There is no -update, deliberately: the failure this file
# defends against is an author who narrows the parser, sees a wall of red and regenerates.
# Refresh it with `sh scripts/fleet-corpus.sh`, which only ever APPENDS unseen subjects and
# refuses to run when the stored verdicts already disagree with the tree. Changing what a
# subject MEANS is a hand edit, so review sees a changed verdict rather than a new file.
#
# The argument, the positive controls and the one drift that is never waivable by editing a
# column are in internal/bump/fleetcorpus_test.go. Read it before touching a row.
#
# Public repositories only — glyph is public and six of the fleet's thirty-five are not.
#
# Columns, tab-separated. Every field that can carry an arbitrary byte — raw, scope, subject —
# is strconv.Quote'd, so a tab or a non-ASCII byte inside a real subject can never split a row.
# level, breaking and gitmoji are drawn from closed vocabularies and cannot:
#
#   1 raw       the commit subject exactly as its author wrote it — the INPUT. Always ONE line;
#               the loader rejects a multi-line raw, because a body could carry a BREAKING
#               CHANGE footer and corrupt the minLegacyBangOnly positive control
#   2 level     the bump level, or !parse / !unknown-gitmoji when glyph refuses (a refusal is
#               a verdict too: a parser that starts accepting what it rejected has widened the
#               acceptance range just as consequentially as one that narrows it). !unknown-gitmoji
#               means this file also freezes gitmoji-table MEMBERSHIP — adding a code to
#               rules.json re-levels every fleet commit already carrying it, and the test says so
#               in its own words rather than blaming the parser
#   3 breaking  t / f, or - when there is no verdict
#   4 gitmoji   the code, or -
#   5 scope     the scope without parens, or - when absent (salvaged from a legacy token when
#               the current slot has none — which is why a legacy row can carry one, and why it
#               is quoted: the legacy slot is [^()]+, which admits a tab)
#   6 subject   what Parse kept: markers and any retired Conventional token stripped
":adhesive_bandage: fix(cli): name the PR and the escapes when a resolved-PR commit wedges the walk (#17)"	patch	f	:adhesive_bandage:	"cli"	"name the PR and the escapes when a resolved-PR commit wedges the walk (#17)"
":adhesive_bandage:(ci) silence the intentional SC2016 in the tap-token reminder body"	patch	f	:adhesive_bandage:	"ci"	"silence the intentional SC2016 in the tap-token reminder body"
":alembic:(ci) repin the ammo caller at the hub commit with the exec bit"	none	f	:alembic:	"ci"	"repin the ammo caller at the hub commit with the exec bit"
":alembic:(ci) swift-bite live ammunition — a vacuous test the gate must refuse"	none	f	:alembic:	"ci"	"swift-bite live ammunition — a vacuous test the gate must refuse"
":alembic:(ci) the green half — a test the pre-change tree cannot build"	none	f	:alembic:	"ci"	"the green half — a test the pre-change tree cannot build"
":arrow_up: build(deps)!: adopt sill 3.1.0 + raise macOS floor to 26 (#398)"	major	t	:arrow_up:	"deps"	"adopt sill 3.1.0 + raise macOS floor to 26 (#398)"
":arrow_up: build(deps): Bump actions/upload-artifact"	patch	f	:arrow_up:	"deps"	"Bump actions/upload-artifact"
":arrow_up: build(deps): Bump the actions group with 2 updates (#3)"	patch	f	:arrow_up:	"deps"	"Bump the actions group with 2 updates (#3)"
":arrow_up: build(deps): bump actions/checkout"	patch	f	:arrow_up:	"deps"	"bump actions/checkout"
":arrow_up: build(deps): bump actions/setup-go"	patch	f	:arrow_up:	"deps"	"bump actions/setup-go"
":arrow_up: build(deps): bump actions/setup-node"	patch	f	:arrow_up:	"deps"	"bump actions/setup-node"
":arrow_up: build(deps): bump actions/setup-python"	patch	f	:arrow_up:	"deps"	"bump actions/setup-python"
